key,p_x,p_y
17RUS.X19,,
17RUS.X22,,
17RUS.X7,,
17RUS.X10,,
17RUS.X13,,
17EGY.X23,,
17EGY.X2,,
17EGY.X6,,
17EGY.X7,,
17EGY.X8,,
17EGY.X9,,
17EGY.X10,,
17EGY.X13,,
17EGY.X17,,
17EGY.X19,,
17EGY.X21,,
17EGY.X11,,
17EGY.X14,,
17EGY.X22,,
18URU.X1,,
18URU.X2,,
18URU.X3,,
18URU.X4,,
18URU.X5,,
18URU.X6,,
18URU.X7,,
18URU.X9,,
18URU.X15,,
18URU.X21,,
18URU.X22,,
18URU.X8,,
18URU.X14,,
18URU.X17,,
18KSA.X22,,
18KSA.X3,,
18KSA.X4,,
18KSA.X6,,
18KSA.X7,,
18KSA.X9,,
18KSA.X13,,
18KSA.X14,,
18KSA.X17,,
18KSA.X18,,
18KSA.X19,,
18KSA.X10,,
18KSA.X12,,
18KSA.X16,,
19POR.X1,,
19POR.X3,,
19POR.X5,,
19POR.X6,,
19POR.X7,,
19POR.X8,,
19POR.X10,,
19POR.X11,,
19POR.X14,,
19POR.X17,,
19POR.X21,,
19POR.X16,,
19POR.X18,,
19POR.X23,,
19MAR.X12,,
19MAR.X2,,
19MAR.X4,,
19MAR.X5,,
19MAR.X7,,
19MAR.X8,,
19MAR.X10,,
19MAR.X13,,
19MAR.X14,,
19MAR.X16,,
19MAR.X17,,
19MAR.X9,,
19MAR.X11,,
19MAR.X23,,
20IRN.X1,,
20IRN.X3,,
20IRN.X6,,
20IRN.X8,,
20IRN.X9,,
20IRN.X10,,
20IRN.X11,,
20IRN.X17,,
20IRN.X19,,
20IRN.X20,,
20IRN.X23,,
20IRN.X5,,
20IRN.X14,,
20IRN.X18,,
20ESP.X1,,
20ESP.X2,,
20ESP.X3,,
20ESP.X5,,
20ESP.X6,,
20ESP.X11,,
20ESP.X15,,
20ESP.X18,,
20ESP.X19,,
20ESP.X21,,
20ESP.X22,,
20ESP.X8,,
20ESP.X9,,
20ESP.X20,,
21FRA.X1,0.5,3
21FRA.X2,3,4.5
21FRA.X4,2,4
21FRA.X5,2,2.2
21FRA.X6,3.25,2.7
21FRA.X7,4.3,3
21FRA.X9,4.8,3
21FRA.X10,4.3,4.5
21FRA.X13,3.25,3.3
21FRA.X14,4,1.8
21FRA.X21,3,1.5
21FRA.X11,2.875,0
21FRA.X15,3.25,0
21FRA.X18,3.625,0
21PER.X1,6,3
21PER.X2,4.7,3.83
21PER.X6,4,4.5
21PER.X8,2,2.8
21PER.X9,1.5,3
21PER.X15,4.7,2.1
21PER.X17,3.8,1.5
21PER.X18,2.8,2.2
21PER.X19,2.8,3.5
21PER.X20,3.25,3.7
21PER.X23,3.5,2.9
21PER.X4,2.875,6
21PER.X10,3.25,6
21PER.X11,3.625,6
22DEN.X1,0.5,3
22DEN.X4,2,3.8
22DEN.X6,2,2.1
22DEN.X8,3.25,2.3
22DEN.X9,5,3
22DEN.X10,4.5,3
22DEN.X14,3,4.5
22DEN.X17,3,1.5
22DEN.X19,3,3.2
22DEN.X20,4.3,4.2
22DEN.X23,4,2.3
22DEN.X11,3,0
22DEN.X21,3.5,0
22AUS.X1,6,3
22AUS.X5,4.3,3.5
22AUS.X7,2.5,2.1
22AUS.X10,2.5,3.8
22AUS.X11,1.5,3
22AUS.X13,3.5,3.3
22AUS.X15,3.7,2.7
22AUS.X16,3.7,4.5
22AUS.X19,3.7,1.5
22AUS.X20,4.5,2.1
22AUS.X23,2.5,3
22AUS.X9,2.875,6
22AUS.X17,3.25,6
22AUS.X22,3.625,6
23ARG.X23,0.5,3
23ARG.X2,2.5,4.5
23ARG.X3,2.5,2
23ARG.X8,3.25,1.5
23ARG.X10,4,3.5
23ARG.X13,3.8,2.7
23ARG.X14,2.8,3
23ARG.X15,3.25,3.3
23ARG.X17,2,3.5
23ARG.X18,3.8,4.5
23ARG.X19,5,3
23ARG.X9,2.875,0
23ARG.X21,3.25,0
23ARG.X22,3.625,0
23CRO.X23,6,3
23CRO.X2,3.5,1.5
23CRO.X3,3.5,4.5
23CRO.X4,2.5,2.7
23CRO.X6,4.3,2.2
23CRO.X7,3,3.8
23CRO.X10,3,2.2
23CRO.X11,3.5,3
23CRO.X17,1.8,3
23CRO.X18,2.2,3.2
23CRO.X21,4.3,3.83
23CRO.X5,2.875,6
23CRO.X8,3.25,6
23CRO.X9,3.625,6
24NGA.X23,6,3
24NGA.X2,3.25,4.5
24NGA.X4,3.25,3.4
24NGA.X5,4.3,3
24NGA.X6,4,2.1
24NGA.X7,2,3.8
24NGA.X8,2.6,3.4
24NGA.X10,3.25,2.6
24NGA.X11,3,1.5
24NGA.X14,2,2.1
24NGA.X22,4.3,3.8
24NGA.X9,2.875,6
24NGA.X18,3.25,6
24NGA.X21,3.625,6
24ISL.X1,0.5,3
24ISL.X2,2.8,4.5
24ISL.X6,2.5,2.3
24ISL.X8,3.6,2.1
24ISL.X10,3.5,2.8
24ISL.X11,4.7,3.3
24ISL.X14,2.5,3.8
24ISL.X17,3,3.2
24ISL.X18,2.8,1.5
24ISL.X19,3.7,3.8
