MATCH,MATCH2,TEAM,PLAYER,NAME,NAME2,POS,PC ,PA ,PC/PA,PR,MIN,GS,S,SG,FC,FS,PLAYER2,NAME3,MIN2,DC,D_IN_POSS,D_NOT_IN_POSS,T_OPP_HALF,T_ATT_3RD,T_PEN_AREA,SPRINT,MAX_SPEED,A_Z1,A_Z2,A_Z3,A_Z4,A_Z5,Goals_scored,Attempts_on_off_target,Assists,Offsides,Saves,Yellow_cards,2Y_R,Red_card,Fouls_committed,Delivery_solo_runs_attacking3rd,Delivery_solo_runs_attacking3rd_a,Delivery_solo_runs_attacking3rd_b,Delivery_solo_runs_penalty_area,Delivery_solo_runs_penalty_area_a,Delivery_solo_runs_penalty_area_b,Tackles_gaining_the_ball,Tackles_not_gaining_the_ball,Tackles_suffered_losing_the_ball,Tackles_suffered_not_losing_the_ball,Clearances_Completed,Clearances_Attempted,Total_time_played_mins,Activity_time_spent_Z1,Activity_time_spent_Z2,Activity_time_spent_Z3,Activity_time_spent_Z4,Activity_time_spent_Z5,Distance_covered_m,ADC_m_Z1,ADC_m_Z2,ADC_m_Z3,ADC_m_Z4,ADC_m_Z5,Top_Speed,Sprints
55,55,SWE,3,LINDELOF,Victor LINDELOF 3,DF,20,24,83,16,90,,,,,,3,LINDELOF,"97'31""",8538,2152,4352,14,2,,15,29.02,73,23,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,4,GRANQVIST,Andreas GRANQVIST 4,DF,22,26,85,20,90,,,,,1,4,GRANQVIST,"97'31""",8469,2033,4356,17,8,3,13,26.46,73,24,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,6,AUGUSTINSSON,Ludwig AUGUSTINSSON 6,DF,13,23,57,15,90,,,,1,,6,AUGUSTINSSON,"97'31""",10327,2655,5140,27,10,1,35,28.8,67,26,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,8,EKDAL,Albin EKDAL 8,MF,20,23,87,18,90,,3,0,,,8,EKDAL,"97'31""",10955,2866,5666,33,13,3,34,28.37,62,30,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,9,BERG,Marcus BERG 9,FW,14,22,64,22,89,,3,1,7,1,9,BERG,"91'17""",9393,2686,4561,62,31,9,30,29.23,69,24,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,10,FORSBERG,Emil FORSBERG 10,MF,18,25,72,22,82,1,3,1,1,4,10,FORSBERG,"82'24""",8852,2367,4369,50,26,2,25,28.8,67,27,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,13,SVENSSON,Gustav SVENSSON 13,MF,19,21,90,12,90,,,,1,,13,SVENSSON,"97'31""",10511,2301,5842,33,6,,30,27.22,63,31,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,17,CLAESSON,Viktor CLAESSON 17,MF,25,35,71,21,90,,,,,2,17,CLAESSON,"97'31""",10459,2888,5093,49,25,3,33,27,67,25,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,20,TOIVONEN,Ola TOIVONEN 20,FW,12,19,63,17,90,,2,1,,3,20,TOIVONEN,"97'31""",10463,2855,5116,59,31,7,28,26.28,66,27,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,5,OLSSON,Martin OLSSON 5,DF,2,2,100,3,8,,,,,1,5,OLSSON,"15'07""",1666,448,748,46,22,1,7,29.48,64,26,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,16,KRAFTH,Emil KRAFTH 16,DF,1,1,100,1,8,,,,,,16,KRAFTH,"14'37""",1332,310,650,26,,,5,24.48,73,21,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SWE,22,THELIN,Isaac Kiese THELIN 22,FW,2,2,100,2,1,,,,,,22,THELIN,"6'14""",788,194,302,70,43,10,3,20.84,60,26,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SUI,1,SOMMER,Yann SOMMER 1,GK,24,29,83,12,90,,,,,,1,SOMMER,"97'31""",4824,2157,1323,,,,2,22.32,93,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SUI,5,AKANJI,Manuel AKANJI 5,DF,79,89,89,74,90,,,,1,2,5,AKANJI,"97'31""",8851,4099,2696,28,13,7,18,26.64,72,23,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SUI,6,LANG,Michael LANG 6,DF,41,51,80,47,90,,1,0,1,,6,LANG,"94'26""",10796,4951,3266,42,22,6,36,29.92,64,26,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SUI,10,XHAKA,Granit XHAKA 10,MF,87,96,91,79,90,,3,0,3,2,10,XHAKA,"97'31""",10522,5375,2958,47,18,,14,28.12,66,26,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SUI,11,BEHRAMI,Valon BEHRAMI 11,MF,71,77,92,64,90,,,,3,2,11,BEHRAMI,"97'31""",9830,4480,3214,40,11,1,26,27.9,69,24,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SUI,13,R. RODRIGUEZ,Ricardo RODRIGUEZ 13,DF,41,62,66,52,90,,4,2,,1,13,R. RODRIGUEZ,"97'31""",9223,4279,2837,45,25,1,36,30.17,72,21,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,SUI,14,ZUBER,Steven ZUBER 14,MF,16,21,76,17,73,,2,1,1,,14,ZUBER,"73'48""",8146,3908,2254,65,36,9,21,26.46,64,28,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
