key,p_x,p_y
15BEL.X6,,
15BEL.X7,,
15BEL.X9,,
15BEL.X10,,
15BEL.X15,,
15BEL.X19,,
15BEL.X22,,
15BEL.X8,,
15BEL.X14,,
15BEL.X17,,
15ALG.X23,,
15ALG.X2,,
15ALG.X3,,
15ALG.X5,,
15ALG.X10,,
15ALG.X12,,
15ALG.X14,,
15ALG.X15,,
15ALG.X19,,
15ALG.X21,,
15ALG.X22,,
15ALG.X8,,
15ALG.X9,,
15ALG.X13,,
16RUS.X1,,
16RUS.X4,,
16RUS.X8,,
16RUS.X9,,
16RUS.X14,,
16RUS.X17,,
16RUS.X18,,
16RUS.X19,,
16RUS.X20,,
16RUS.X22,,
16RUS.X23,,
16RUS.X7,,
16RUS.X10,,
16RUS.X11,,
16KOR.X1,,
16KOR.X3,,
16KOR.X5,,
16KOR.X9,,
16KOR.X10,,
16KOR.X12,,
16KOR.X13,,
16KOR.X14,,
16KOR.X16,,
16KOR.X17,,
16KOR.X20,,
16KOR.X6,,
16KOR.X7,,
16KOR.X11,,
17BRA.X12,,
17BRA.X2,,
17BRA.X3,,
17BRA.X4,,
17BRA.X6,,
17BRA.X8,,
17BRA.X9,,
17BRA.X10,,
17BRA.X11,,
17BRA.X16,,
17BRA.X17,,
17BRA.X19,,
17BRA.X20,,
17BRA.X21,,
17MEX.X13,,
17MEX.X2,,
17MEX.X4,,
17MEX.X6,,
17MEX.X7,,
17MEX.X10,,
17MEX.X15,,
17MEX.X18,,
17MEX.X19,,
17MEX.X22,,
17MEX.X23,,
17MEX.X8,,
17MEX.X9,,
17MEX.X14,,
18CMR.X16,6,3
18CMR.X2,3.7,4.5
18CMR.X3,4.3,2.1
18CMR.X6,2.7,2.2
18CMR.X8,2,2.5
18CMR.X10,1.5,3.5
18CMR.X13,2.7,4
18CMR.X14,4.7,3.2
18CMR.X17,3.25,1.9
18CMR.X18,3,3.2
18CMR.X21,3.6,3.3
18CMR.X5,2.875,6
18CMR.X15,3.25,6
18CMR.X20,3.625,6
18CRO.X1,0.5,3
18CRO.X3,2.8,1.5
18CRO.X4,4.75,2.8
18CRO.X5,2,3.83
18CRO.X6,2,2.1
18CRO.X7,3,2.5
18CRO.X10,3.25,3
18CRO.X11,3.25,4.5
18CRO.X17,4.5,3
18CRO.X18,5,3
18CRO.X19,4,3
18CRO.X16,2.875,0
18CRO.X20,3.25,0
18CRO.X22,3.625,0
19ESP.X1,,
19ESP.X4,,
19ESP.X6,,
19ESP.X11,,
19ESP.X14,,
19ESP.X15,,
19ESP.X16,,
19ESP.X18,,
19ESP.X19,,
19ESP.X21,,
19ESP.X22,,
19ESP.X9,,
19ESP.X17,,
19ESP.X20,,
19CHI.X1,,
19CHI.X2,,
19CHI.X4,,
19CHI.X5,,
19CHI.X7,,
19CHI.X8,,
19CHI.X11,,
19CHI.X17,,
19CHI.X18,,
19CHI.X20,,
19CHI.X21,,
19CHI.X6,,
19CHI.X10,,
19CHI.X16,,
20AUS.X1,6,3
20AUS.X3,3.9,4.5
20AUS.X4,1.5,3
20AUS.X6,4.3,3.83
20AUS.X7,2.4,2.1
20AUS.X11,2.4,4
20AUS.X15,3.5,2.1
20AUS.X17,3.25,3.5
20AUS.X19,3.9,1.5
20AUS.X22,4.3,2.1
20AUS.X23,3,2.4
20AUS.X9,2.875,6
20AUS.X10,3.25,6
20AUS.X13,3.625,6
20NED.X1,0.5,3
20NED.X2,2,3
20NED.X3,2,3
20NED.X4,2.3,1.8
20NED.X5,3,1.5
20NED.X6,3,3
20NED.X7,3,4.5
20NED.X8,3.4,3.2
20NED.X9,5,3.1
20NED.X10,3.9,2.8
20NED.X11,4.7,3.83
20NED.X17,2.875,0
20NED.X20,3.25,0
20NED.X21,3.625,0
21COL.X1,,
21COL.X2,,
21COL.X3,,
21COL.X6,,
21COL.X7,,
21COL.X8,,
21COL.X9,,
21COL.X10,,
21COL.X11,,
21COL.X14,,
21COL.X18,,
21COL.X4,,
21COL.X15,,
21COL.X20,,
21CIV.X1,,
21CIV.X3,,
21CIV.X5,,
21CIV.X9,,
21CIV.X10,,
21CIV.X12,,
21CIV.X15,,
21CIV.X17,,
21CIV.X19,,
21CIV.X20,,
21CIV.X22,,
21CIV.X6,,
21CIV.X8,,
21CIV.X11,,
22JPN.X1,6,3
22JPN.X2,3.5,1.5
22JPN.X4,2.5,3
22JPN.X5,3.25,4.5
22JPN.X9,1.7,3.83
22JPN.X13,2,2.1
22JPN.X15,4.3,3.83
