key2,p_x,p_y
14PRK.X2,4.7,1.5
14PRK.X3,3.5,3
14PRK.X5,4.7,4.5
14PRK.X8,3,4
14PRK.X13,5,2.16
14PRK.X9,1.5,3
14PRK.X10,2,2.16
14PRK.X1,6,3
14PRK.X4,5,3.83
14PRK.X11,2.7,2
14PRK.X17,2,3.83
14PRK.X6,3.325,6
15CHI.X3,5,3.415
15CHI.X4,4.5,1.5
15CHI.X17,5,2.58
15CHI.X7,1.5,2.31
15CHI.X15,1.5,3.6
15CHI.X1,6,3
15CHI.X6,3.5,3
15CHI.X8,4.5,4.5
15CHI.X10,2.33,3
15CHI.X14,3,3.9575
15CHI.X20,3,2.04
15CHI.X5,2.875,6
15CHI.X11,3.25,6
15CHI.X18,3.625,6
15HON.X2,1.75,3.415
15HON.X3,1.75,2.58
15HON.X21,2,1.5
15HON.X23,2,4.5
15HON.X9,5,3
15HON.X13,3.5,1.83
15HON.X18,0.5,3
15HON.X7,4,3
15HON.X8,3,3.5
15HON.X17,3.5,4.16
15HON.X20,3,2.5
15HON.X6,2.875,0
15HON.X12,3.25,0
15HON.X15,3.625,0
16ESP.X3,5,3.83
16ESP.X5,5,2.16
16ESP.X11,4.5,4.5
16ESP.X15,4.5,1.5
16ESP.X7,1.5,3
16ESP.X1,6,3
16ESP.X6,2,4.5
16ESP.X8,3,3.83
16ESP.X14,3,2.16
16ESP.X16,3.5,3
16ESP.X21,2,1.5
16ESP.X9,2.875,6
16ESP.X18,3.25,6
16ESP.X22,3.625,6
16SUI.X2,2,4
16SUI.X4,1.5,3.83
16SUI.X13,1.5,2.16
16SUI.X17,2,2
16SUI.X10,5,3
16SUI.X19,4.5,3.83
16SUI.X1,0.5,3
16SUI.X6,3.4,2.16
16SUI.X7,3.5,4.5
16SUI.X8,3.4,3.83
16SUI.X16,3.5,1.5
16SUI.X5,2.875,0
16SUI.X15,3.25,0
16SUI.X22,3.625,0
17RSA.X2,0,0
17RSA.X3,0,0
17RSA.X4,0,0
17RSA.X20,0,0
17RSA.X9,0,0
17RSA.X16,0,0
17RSA.X8,0,0
